pmid,title,journal,year,cited_in
19760441,Biotechnological strains of Komagataella (Pichia) pastoris are Komagataella phaffii as determined from multigene sequence analysis,J Ind Microbiol Biotechnol,2009,docs/research/GENERALIZATION.md:372;docs/research/GENERALIZATION.md:720
19801484,Metabolic engineering of Saccharomyces cerevisiae for astaxanthin production and oxidative stress tolerance,Appl Environ Microbiol,2009,docs/EXTERNAL_CAROTENOID_BOUND.md:114;docs/research/STRESS_RULES.md:362;docs/research/STRESS_RULES.md:482;docs/research/STRESS_RULES.md:555;docs/research/STRESS_RULES.md:70
19851443,Invariant distribution of promoter activities in Escherichia coli,PLoS Comput Biol,2009,docs/research/EXTERNAL_DATA.md:244;docs/research/GENERALIZATION.md:320;docs/research/GENERALIZATION.md:695;docs/research/PARAMETER_SOURCES.md:367;docs/research/PARAMETER_SOURCES.md:619
19874630,Validation of reference genes for quantitative expression analysis by real-time RT-PCR in Saccharomyces cerevisiae,BMC Mol Biol,2009,docs/CITATION_AUDIT.md:83;docs/SOURCE_AUDIT.md:387;docs/research/UPR_ANCHOR.md:713
19901341,Protein kinase A and TORC1 activate genes for ribosomal biogenesis by inactivating repressors encoded by Dot6 and its homolog Tod6,Proc Natl Acad Sci U S A,2009,docs/research/STRESS_RULES.md:475;docs/research/STRESS_RULES.md:92;src/ystwin/fba/stress_pathways.py:176
20581803,Cytosolic pH is a second messenger for glucose and regulates the PKA pathway through V-ATPase,EMBO J,2010,docs/SOURCE_AUDIT.md:361;src/ystwin/generator/stress_panel.py:51;src/ystwin/mech/ph.py:629;src/ystwin/mech/ph.py:657;tests/test_atp_sensor.py:249
20625545,BiP binding to the ER-stress sensor Ire1 tunes the homeostatic behavior of the unfolded protein response,PLoS Biol,2010,docs/SOURCE_AUDIT.md:387;docs/research/PARAMETER_SOURCES.md:229;docs/research/PARAMETER_SOURCES.md:276;docs/research/PARAMETER_SOURCES.md:506;docs/research/PARAMETER_SOURCES.md:90;docs/research/UPR_ANCHOR.md:701;src/ystwin/generator/stress_panel.py:352;src/ystwin/mech/integrate.py:46;src/ystwin/mech/state.py:528;src/ystwin/mech/upr.py:22;src/ystwin/mech/upr.py:266;src/ystwin/mech/upr.py:663
20632327,Heterologous carotenoid production in Saccharomyces cerevisiae induces the pleiotropic drug resistance stress response,Yeast,2010,docs/SECOND_DATASET_HUNT.md:136;docs/research/CALIBRATION_DATA.md:117;docs/research/CALIBRATION_DATA.md:31;docs/research/CALIBRATION_DATA.md:374;docs/research/CALIBRATION_DATA.md:391;docs/research/STRESS_RULES.md:360;docs/research/STRESS_RULES.md:454;docs/research/STRESS_RULES.md:539;docs/research/STRESS_RULES.md:581;docs/research/STRESS_RULES.md:582;docs/research/STRESS_RULES.md:72
20876091,Probabilistic integrative modeling of genome-scale metabolic and regulatory networks in Escherichia coli and Mycobacterium tuberculosis,Proc Natl Acad Sci U S A,2010,docs/FINDINGS.md:1019;docs/FINDINGS.md:703;docs/research/STRESS_RULES.md:191;docs/research/STRESS_RULES.md:221;docs/research/STRESS_RULES.md:232;docs/research/STRESS_RULES.md:291;docs/research/STRESS_RULES.md:576;docs/research/STRESS_RULES.md:590;src/ystwin/bridge/regulation.py:46
20887710,Structural and kinetics properties of a mutated phytoene desaturase from Rubrivivax gelatinosus with modified product specificity,Arch Biochem Biophys,2011,docs/research/STRESS_RULES.md:428
21097934,Interdependence of cell growth and gene expression: origins and consequences,Science,2010,docs/research/STRESS_RULES.md:125;docs/research/STRESS_RULES.md:131;docs/research/STRESS_RULES.md:574
21120656,Important role of catalase in the production of β-carotene by recombinant Saccharomyces cerevisiae under H2O2 stress,Curr Microbiol,2011,docs/research/STRESS_RULES.md:361;docs/research/STRESS_RULES.md:551
21187411,Misfolded proteins impose a dosage-dependent fitness cost and trigger a cytosolic unfolded protein response in yeast,Proc Natl Acad Sci U S A,2011,src/ystwin/mech/burden.py:385;src/ystwin/mech/burden.py:742;tests/test_mech_burden.py:1009
21233346,Proteome half-life dynamics in living human cells,Science,2011,docs/research/GENERALIZATION.md:394;docs/research/GENERALIZATION.md:717
21266995,Integrated multilaboratory systems biology reveals differences in protein metabolism between two reference yeast strains,Nat Commun,2010,docs/research/EXTERNAL_DATA.md:451
21317255,Temperature adaptation markedly determines evolution within the genus Saccharomyces,Appl Environ Microbiol,2011,docs/research/GENERATOR_REALISM.md:259;docs/research/GENERATOR_REALISM.md:466;src/ystwin/generator/context.py:99;tests/test_environment_sweep.py:45
21335394,Deletion or overexpression of mitochondrial NAD+ carriers in Saccharomyces cerevisiae alters cellular NAD and ATP contents and affects mitochondrial metabolism and the rate of glycolysis,Appl Environ Microbiol,2011,docs/FINDINGS.md:2243;docs/SOURCE_AUDIT.md:379;tests/test_thermodynamic_bridge.py:7
21364882,Heat shock response in yeast involves changes in both transcription rates and mRNA stabilities,PLoS One,2011,src/ystwin/mech/state.py:491
21444684,Homeostatic adaptation to endoplasmic reticulum stress depends on Ire1 kinase activity,J Cell Biol,2011,docs/SOURCE_AUDIT.md:387;docs/research/UPR_ANCHOR.md:706
21452013,Identification of reference genes suitable for normalization of RT-qPCR expression data in Saccharomyces cerevisiae during alcoholic fermentation,Biotechnol Lett,2011,docs/SOURCE_AUDIT.md:387;docs/research/UPR_ANCHOR.md:726
21573686,β-Carotene production by Saccharomyces cerevisiae with regard to plasmid stability and culture media,Appl Microbiol Biotechnol,2011,docs/EXTERNAL_CAROTENOID_BOUND.md:115;docs/EXTERNAL_CAROTENOID_BOUND.md:161;docs/EXTERNAL_CAROTENOID_BOUND.md:243;docs/EXTERNAL_CAROTENOID_BOUND.md:247
21703020,Modeling and measuring intracellular fluxes of secreted recombinant protein in Pichia pastoris with a novel 34S labeling procedure,Microb Cell Fact,2011,docs/MEASUREMENTS_NEEDED.md:112;docs/SECOND_DATASET_HUNT.md:114;scripts/audit_claims.py:800;src/ystwin/pathway/solve.py:132
21730963,"Sch9 regulates ribosome biogenesis via Stb3, Dot6 and Tod6 and the histone deacetylase complex RPD3L",EMBO J,2011,src/ystwin/fba/stress_pathways.py:176
21943338,"TIGER: Toolbox for integrating genome-scale metabolic models, expression data, and transcriptional regulatory networks",BMC Syst Biol,2011,docs/research/STRESS_RULES.md:276
21965291,Genome-wide analysis of yeast stress survival and tolerance acquisition to analyze the central trade-off between growth rate and cellular robustness,Mol Biol Cell,2011,docs/research/PARAMETER_SOURCES.md:556;docs/research/STRESS_RULES.md:107;docs/research/STRESS_RULES.md:114;docs/research/STRESS_RULES.md:32;docs/research/STRESS_RULES.md:479
21982710,Phosphatidylcholine synthesis for lipid droplet expansion is mediated by localized activation of CTP:phosphocholine cytidylyltransferase,Cell Metab,2011,docs/CITATION_AUDIT.md:113;docs/SOURCE_AUDIT.md:86
21982714,Imaging cytosolic NADH-NAD(+) redox state with a genetically encoded fluorescent biosensor,Cell Metab,2011,docs/CITATION_AUDIT.md:113;docs/SOURCE_AUDIT.md:86;docs/research/PARAMETER_SOURCES.md:603;src/ystwin/generator/stress_panel.py:301;src/ystwin/generator/stress_panel.py:596
22038037,Osmotic shock augments ethanol stress in Saccharomyces cerevisiae MTCC 2918,Curr Microbiol,2012,src/ystwin/fba/stress_pools.py:187
22080204,Enhanced production of β-carotene by recombinant industrial wine yeast using grape juice as substrate,Curr Microbiol,2012,docs/EXTERNAL_CAROTENOID_BOUND.md:116;docs/EXTERNAL_CAROTENOID_BOUND.md:241;docs/research/STRESS_RULES.md:456;docs/research/STRESS_RULES.md:582
22086347,Enhancement of β-carotene production by over-expression of HMG-CoA reductase coupled with addition of ergosterol biosynthesis inhibitors in recombinant Saccharomyces cerevisiae,Curr Microbiol,2012,docs/EXTERNAL_CAROTENOID_BOUND.md:117;docs/EXTERNAL_CAROTENOID_BOUND.md:239;docs/EXTERNAL_CAROTENOID_BOUND.md:246
22102822,Multiple means to the same end: the genetic basis of acquired stress resistance in yeast,PLoS Genet,2011,docs/research/PARAMETER_SOURCES.md:423;docs/research/STRESS_RULES.md:169;docs/research/STRESS_RULES.md:177;docs/research/STRESS_RULES.md:22;docs/research/STRESS_RULES.md:481;docs/research/STRESS_RULES.md:592
22179789,Signal-dependent dynamics of transcription factor translocation controls gene expression,Nat Struct Mol Biol,2011,docs/research/STRESS_RULES.md:153;docs/research/STRESS_RULES.md:176;docs/research/STRESS_RULES.md:18;docs/research/STRESS_RULES.md:477;docs/research/STRESS_RULES.md:575;src/ystwin/mech/state.py:127;src/ystwin/mech/state.py:454;tests/test_mech_integrate.py:274;tests/test_mech_integrate.py:279
22228834,Correction of RT-qPCR data for genomic DNA-derived signals with ValidPrime,Nucleic Acids Res,2012,docs/SOURCE_AUDIT.md:387;docs/SOURCE_AUDIT.md:97;docs/research/UPR_ANCHOR.md:734
22456505,A conserved cell growth cycle can account for the environmental stress responses of divergent eukaryotes,Mol Biol Cell,2012,docs/FINDINGS.md:715;docs/research/STRESS_RULES.md:108;docs/research/STRESS_RULES.md:190;docs/research/STRESS_RULES.md:206;docs/research/STRESS_RULES.md:244;docs/research/STRESS_RULES.md:33;docs/research/STRESS_RULES.md:44;docs/research/STRESS_RULES.md:579
22561702,Redox-sensitive YFP sensors monitor dynamic nuclear and cytosolic glutathione redox changes,Free Radic Biol Med,2012,docs/superseded/pool-before-regulon.md:73
22705944,Glutathione redox potential in the mitochondrial intermembrane space is linked to the cytosol and impacts the Mia40 redox state,EMBO J,2012,docs/CITATION_AUDIT.md:232;docs/SOURCE_AUDIT.md:358;src/ystwin/generator/stress_panel.py:427;src/ystwin/generator/stress_panel.py:565
22737060,Potassium starvation in yeast: mechanisms of homeostasis revealed by mathematical modeling,PLoS Comput Biol,2012,src/ystwin/mech/ph.py:426
22745782,"On the structure and function of the phytoene desaturase CRTI from Pantoea ananatis, a membrane-peripheral and FAD-dependent oxidase/isomerase",PLoS One,2012,docs/research/STRESS_RULES.md:428
22851651,Cellular memory of acquired stress resistance in Saccharomyces cerevisiae,Genetics,2012,src/ystwin/mech/oxidative.py:1693;src/ystwin/mech/oxidative.py:230;src/ystwin/mech/state.py:540;tests/test_mech_oxidative.py:903
22934050,Integration of expression data in genome-scale metabolic network reconstructions,Front Physiol,2012,docs/research/STRESS_RULES.md:276
22938570,Combined metabolic engineering of precursor and co-factor supply to increase α-santalene production by Saccharomyces cerevisiae,Microb Cell Fact,2012,docs/EXTERNAL_PRODUCT_VALIDATION.md:200;docs/research/CALIBRATION_DATA.md:110;docs/research/CALIBRATION_DATA.md:29;docs/research/CALIBRATION_DATA.md:363
23001666,Quantitative analysis of the modes of growth inhibition by weak organic acids in Saccharomyces cerevisiae,Appl Environ Microbiol,2012,src/ystwin/mech/ph.py:673;src/ystwin/mech/ph.py:930;tests/test_mech_ph.py:545
23009357,Engineering of acetyl-CoA metabolism for the improved production of polyhydroxybutyrate in Saccharomyces cerevisiae,AMB Express,2012,docs/EXTERNAL_PRODUCT_VALIDATION.md:183;scripts/score_phb_environment.py:54;src/ystwin/fba/stress_heterologous.py:197;src/ystwin/fba/stress_heterologous.py:277
23021432,Genome-wide analysis of intracellular pH reveals quantitative control of cell division rate by pH(c) in Saccharomyces cerevisiae,Genome Biol,2012,src/ystwin/mech/ph.py:1078;src/ystwin/mech/ph.py:320;src/ystwin/mech/ph.py:331;src/ystwin/mech/ph.py:342;src/ystwin/mech/ph.py:728
23054834,Basic leucine zipper transcription factor Hac1 binds DNA in two distinct modes as revealed by microfluidic analyses,Proc Natl Acad Sci U S A,2012,src/ystwin/mech/upr.py:306;src/ystwin/mech/upr.py:347
23107142,Characterization of plasmid burden and copy number in Saccharomyces cerevisiae for optimization of metabolic engineering applications,FEMS Yeast Res,2013,src/ystwin/mech/population.py:308
23206695,Proteins contribute insignificantly to the intrinsic buffering capacity of yeast cytoplasm,Biochem Biophys Res Commun,2013,src/ystwin/mech/ph.py:439
23242256,Multiple glutathione disulfide removal pathways mediate cytosolic redox homeostasis,Nat Chem Biol,2013,docs/superseded/pool-before-regulon.md:80;src/ystwin/generator/stress_panel.py:392
23412054,Overexpression and characterization of lycopene cyclase (CrtY) from marine bacterium Paracoccus haeundaensis,J Microbiol Biotechnol,2013,docs/research/STRESS_RULES.md:428
234442,Prenyltransferase from Saccharomyces cerevisiae. Purification to homogeneity and molecular properties,J Biol Chem,1975,docs/research/STRESS_RULES.md:426
23514405,Specific growth rate and substrate dependent polyhydroxybutyrate production in Saccharomyces cerevisiae,AMB Express,2013,docs/EXTERNAL_PRODUCT_VALIDATION.md:110;docs/MEASUREMENTS_NEEDED.md:419;docs/WHAT_IS_LEFT.md:92;scripts/score_phb_environment.py:5;tests/test_phb_environment.py:3
23534508,Control activity of yeast geranylgeranyl diphosphate synthase from dimer interface through H-bonds and hydrophobic interaction,Biochemistry,2013,docs/research/STRESS_RULES.md:422
23591774,Dissecting specific and global transcriptional regulation of bacterial gene expression,Mol Syst Biol,2013,docs/research/EXTERNAL_DATA.md:281
23718229,Enhancing beta-carotene production in Saccharomyces cerevisiae by metabolic engineering,FEMS Microbiol Lett,2013,docs/EXTERNAL_CAROTENOID_BOUND.md:118;docs/EXTERNAL_CAROTENOID_BOUND.md:372;docs/research/CALIBRATION_DATA.md:120
23740476,"Adaptive response to hydrogen peroxide in yeast: induction, time course, and relationship to dose-response models",Environ Mol Mutagen,2013,docs/research/PARAMETER_SOURCES.md:531
23762021,"Quantitative analysis of glycerol accumulation, glycolysis and growth under hyper osmotic stress",PLoS Comput Biol,2013,docs/research/STRESS_RULES.md:166;src/ystwin/fba/stress_pools.py:167;src/ystwin/fba/stress_pools.py:176;src/ystwin/fba/stress_pools.py:196;tests/test_mech_integrate.py:486;tests/test_mech_integrate.py:71
23762325,Distinct redox regulation in sub-cellular compartments in response to various stress conditions in Saccharomyces cerevisiae,PLoS One,2013,docs/CITATION_AUDIT.md:232;docs/SOURCE_AUDIT.md:359;docs/superseded/pool-before-regulon.md:72;src/ystwin/bridge/thermodynamic.py:105;src/ystwin/bridge/thermodynamic.py:159;src/ystwin/generator/stress_panel.py:389;src/ystwin/generator/stress_panel.py:413;src/ystwin/generator/stress_panel.py:428;src/ystwin/generator/stress_panel.py:566;tests/test_per_module_potency.py:48;tests/test_three_sensor_build.py:195
23781215,Yeast adaptation to weak acids prevents futile energy expenditure,Front Microbiol,2013,src/ystwin/mech/ph.py:615
23860829,Construction of a controllable β-carotene biosynthetic pathway by decentralized assembly strategy in Saccharomyces cerevisiae,Biotechnol Bioeng,2014,docs/EXTERNAL_CAROTENOID_BOUND.md:119;docs/EXTERNAL_CAROTENOID_BOUND.md:146;docs/EXTERNAL_CAROTENOID_BOUND.md:235
23861041,Temperature influences β-carotene production in recombinant Saccharomyces cerevisiae expressing carotenogenic genes from Phaffia rhodozyma,World J Microbiol Biotechnol,2014,docs/EXTERNAL_CAROTENOID_BOUND.md:726
24041253,Dilution and the theoretical description of growth-rate dependent gene expression,J Biol Eng,2013,docs/research/PARAMETER_SOURCES.md:134;docs/research/PARAMETER_SOURCES.md:135;docs/research/PARAMETER_SOURCES.md:339;docs/research/PARAMETER_SOURCES.md:580
24169404,Promoters maintain their relative activity levels under different growth conditions,Mol Syst Biol,2013,docs/FINDINGS.md:692;docs/PRODUCT_ARCHITECTURE.md:109;docs/research/EXTERNAL_DATA.md:272;docs/research/PARAMETER_SOURCES.md:132;docs/research/PARAMETER_SOURCES.md:133;docs/research/PARAMETER_SOURCES.md:204;docs/research/PARAMETER_SOURCES.md:236;docs/research/PARAMETER_SOURCES.md:345;docs/research/PARAMETER_SOURCES.md:368;docs/research/PARAMETER_SOURCES.md:568;docs/research/STRESS_RULES.md:189;docs/research/STRESS_RULES.md:202;docs/research/STRESS_RULES.md:237;docs/research/STRESS_RULES.md:43;docs/research/STRESS_RULES.md:480;docs/research/STRESS_RULES.md:577;docs/research/STRESS_RULES.md:589;docs/research/STRESS_RULES.md:594
24189399,Promoter decoding of transcription factor dynamics involves a trade-off between noise and control of gene expression,Mol Syst Biol,2013,docs/research/STRESS_RULES.md:155;docs/research/STRESS_RULES.md:220
24262517,Improving carotenoids production in yeast via adaptive laboratory evolution,Metab Eng,2014,docs/EXTERNAL_CAROTENOID_BOUND.md:120;docs/EXTERNAL_CAROTENOID_BOUND.md:231;docs/research/CALIBRATION_DATA.md:115;docs/research/CALIBRATION_DATA.md:369;docs/research/CALIBRATION_DATA.md:402;docs/research/STRESS_RULES.md:365;docs/research/STRESS_RULES.md:561;docs/research/STRESS_RULES.md:581
24412977,Scalable inference of heterogeneous reaction kinetics from pooled single-cell recordings,Nat Methods,2014,docs/research/STRESS_RULES.md:218
24486029,Polycistronic expression of a β-carotene biosynthetic pathway in Saccharomyces cerevisiae coupled to β-ionone production,J Biotechnol,2014,docs/EXTERNAL_CAROTENOID_BOUND.md:726
24499615,Improving accuracy of cell and chromophore concentration measurements using optical density,BMC Biophys,2013,docs/research/PRODUCT_OBSERVATION.md:264;docs/research/PRODUCT_OBSERVATION.md:49;src/ystwin/observation.py:15
24529170,Glucose de-repression by yeast AMP-activated protein kinase SNF1 is controlled via at least two independent steps,FEBS J,2014,src/ystwin/mech/contracts.py:293
24529382,Global analysis of mRNA isoform half-lives reveals stabilizing and destabilizing elements in yeast,Cell,2014,src/ystwin/mech/oxidative.py:294;src/ystwin/mech/oxidative.py:803
24762745,Systematic evaluation of methods for integration of transcriptomic data into constraint-based models of metabolism,PLoS Comput Biol,2014,docs/FINDINGS.md:1020;docs/research/STRESS_RULES.md:254;docs/research/STRESS_RULES.md:267;docs/research/STRESS_RULES.md:320;docs/research/STRESS_RULES.md:324;docs/research/STRESS_RULES.md:325;docs/research/STRESS_RULES.md:338;docs/research/STRESS_RULES.md:52;src/ystwin/bridge/regulation.py:169;src/ystwin/bridge/regulation.py:50
24766815,Large-scale genetic perturbations reveal regulatory networks and an abundance of gene-specific repressors,Cell,2014,docs/research/PARAMETER_SOURCES.md:154;docs/research/PARAMETER_SOURCES.md:437
24815987,Polarization-sensitive hyperspectral imaging in vivo: a multimode dermoscope for skin analysis,Sci Rep,2014,docs/CITATION_AUDIT.md:112;docs/SOURCE_AUDIT.md:110;docs/SOURCE_AUDIT.md:85
24952590,Cell cycle population effects in perturbation studies,Mol Syst Biol,2014,docs/research/STRESS_RULES.md:110;docs/research/STRESS_RULES.md:111;docs/research/STRESS_RULES.md:216;docs/research/STRESS_RULES.md:33;docs/research/STRESS_RULES.md:479;docs/research/STRESS_RULES.md:579
25024351,yStreX: yeast stress expression database,Database (Oxford),2014,docs/research/PARAMETER_SOURCES.md:158;docs/research/PARAMETER_SOURCES.md:427
25028891,Network thermodynamic curation of human and yeast genome-scale metabolic models,Biophys J,2014,docs/FINDINGS.md:2256;docs/SOURCE_AUDIT.md:377;src/ystwin/bridge/thermodynamic.py:11;tests/test_thermodynamic_bridge.py:12
25181035,IdsA is the major geranylgeranyl pyrophosphate synthase involved in carotenogenesis in Corynebacterium glutamicum,FEBS J,2014,docs/research/STRESS_RULES.md:428
25283467,Diversity in ATP concentrations in a single bacterial cell population revealed by quantitative single-cell imaging,Sci Rep,2014,docs/CITATION_AUDIT.md:112;docs/SOURCE_AUDIT.md:85;docs/research/PARAMETER_SOURCES.md:595;src/ystwin/generator/stress_panel.py:295;src/ystwin/generator/stress_panel.py:577;src/ystwin/generator/stress_panel.py:91;tests/test_atp_sensor.py:246
25285097,Generalized framework for context-specific metabolic model extraction methods,Front Plant Sci,2014,docs/research/STRESS_RULES.md:275
25401080,NADH-dependent biosensor in Saccharomyces cerevisiae: principle and validation at the single cell level,AMB Express,2014,docs/FINDINGS.md:2295;docs/SOURCE_AUDIT.md:364;src/ystwin/generator/stress_panel.py:599
25411400,Pathway connectivity and signaling coordination in the yeast stress-activated signaling network,Mol Syst Biol,2014,docs/research/PARAMETER_SOURCES.md:157;docs/research/PARAMETER_SOURCES.md:452
25423750,[Production of β-carotene by metabolically engineered Saccharomyces cerevisiae],Sheng Wu Gong Cheng Xue Bao,2014,docs/EXTERNAL_CAROTENOID_BOUND.md:121;docs/EXTERNAL_CAROTENOID_BOUND.md:248
25466257,Global proteome turnover analyses of the Yeasts S. cerevisiae and S. pombe,Cell Rep,2014,src/ystwin/mech/oxidative.py:229;src/ystwin/mech/upr.py:292;src/ystwin/mech/upr.py:30;src/ystwin/mech/upr.py:831
25475893,Sequential control of biosynthetic pathways for balanced utilization of metabolic intermediates in Saccharomyces cerevisiae,Metab Eng,2015,docs/EXTERNAL_CAROTENOID_BOUND.md:122;docs/EXTERNAL_CAROTENOID_BOUND.md:146;docs/EXTERNAL_CAROTENOID_BOUND.md:230;docs/research/CALIBRATION_DATA.md:120
25541598,The partitioning and copy number control systems of the selfish yeast plasmid: an optimized molecular design for stable persistence in host cells,Microbiol Spectr,2014,src/ystwin/mech/population.py:358;src/ystwin/mech/population.py:423;src/ystwin/mech/population.py:62
2566299,Enzymic analysis of the crabtree effect in glucose-limited chemostat cultures of Saccharomyces cerevisiae,Appl Environ Microbiol,1989,docs/FINDINGS.md:2459;docs/SOURCE_AUDIT.md:381;tests/test_mech_burden.py:849;tests/test_physiology_validation.py:27
25955212,"SoNar, a Highly Responsive NAD+/NADH Sensor, Allows High-Throughput Metabolic Screening of Anti-tumor Agents",Cell Metab,2015,docs/SOURCE_AUDIT.md:363;src/ystwin/generator/stress_panel.py:597
25957506,Exploiting the yeast stress-activated signaling network to inform on stress biology and disease signaling,Curr Genet,2015,docs/research/PARAMETER_SOURCES.md:157;docs/research/PARAMETER_SOURCES.md:419
25985085,Limits on information transduction through amplitude and frequency regulation of transcription factor activity,Elife,2015,docs/FINDINGS.md:694;docs/PRODUCT_ARCHITECTURE.md:106;docs/research/STRESS_RULES.md:156;docs/research/STRESS_RULES.md:157;docs/research/STRESS_RULES.md:158;docs/research/STRESS_RULES.md:159;docs/research/STRESS_RULES.md:194;docs/research/STRESS_RULES.md:20;docs/research/STRESS_RULES.md:217;docs/research/STRESS_RULES.md:238;docs/research/STRESS_RULES.md:480;docs/research/STRESS_RULES.md:575;docs/research/STRESS_RULES.md:595
26063466,Production of β-ionone by combined expression of carotenogenic and plant CCD1 genes in Saccharomyces cerevisiae,Microb Cell Fact,2015,docs/EXTERNAL_CAROTENOID_BOUND.md:728
26098102,Alleviating Redox Imbalance Enhances 7-Dehydrocholesterol Production in Engineered Saccharomyces cerevisiae,PLoS One,2015,docs/FINDINGS.md:2245;docs/SOURCE_AUDIT.md:380
26179622,Overexpression of ZWF1 and POS5 improves carotenoid biosynthesis in recombinant Saccharomyces cerevisiae,Lett Appl Microbiol,2015,docs/EXTERNAL_CAROTENOID_BOUND.md:726
26355006,Noise in gene expression is coupled to growth rate,Genome Res,2015,docs/research/PARAMETER_SOURCES.md:576
26369953,Growth-rate dependency of de novo resveratrol production in chemostat cultures of an engineered Saccharomyces cerevisiae strain,Microb Cell Fact,2015,docs/SECOND_DATASET_HUNT.md:259;scripts/score_all_products.py:124
26592304,A Toolbox of Diverse Promoters Related to Methanol Utilization: Functionally Verified Parts for Heterologous Pathway Expression in Pichia pastoris,ACS Synth Biol,2016,docs/research/GENERALIZATION.md:376;docs/research/GENERALIZATION.md:723
26725116,The Cost of Protein Production,Cell Rep,2016,docs/research/STRESS_RULES.md:134;src/ystwin/fba/stress_proteostasis.py:104;src/ystwin/fba/stress_proteostasis.py:612;src/ystwin/mech/burden.py:1171;src/ystwin/mech/burden.py:175;src/ystwin/mech/burden.py:308;src/ystwin/mech/burden.py:680;tests/test_mech_burden.py:987;tests/test_stress_proteostasis.py:311
26749524,Decreased fluidity of cell membranes causes a metal ion deficiency in recombinant Saccharomyces cerevisiae producing carotenoids,J Ind Microbiol Biotechnol,2016,docs/EXTERNAL_CAROTENOID_BOUND.md:726
26944189,"Increasing extracellular H2O2 produces a bi-phasic response in intracellular H2O2, with peroxiredoxin hyperoxidation only triggered once the cellular H2O2-buffering capacity is overwhelmed",Free Radic Biol Med,2016,docs/research/PARAMETER_SOURCES.md:107;docs/research/PARAMETER_SOURCES.md:526;src/ystwin/generator/stress_panel.py:402;src/ystwin/mech/oxidative.py:461;src/ystwin/mech/oxidative.py:560;src/ystwin/mech/oxidative.py:586
27046808,Encoding four gene expression programs in the activation dynamics of a single transcription factor,Curr Biol,2016,docs/research/STRESS_RULES.md:160
27104977,On the Dependency of Cellular Protein Levels on mRNA Abundance,Cell,2016,docs/research/STRESS_RULES.md:328;docs/research/STRESS_RULES.md:336
27307591,Adaptation to different types of stress converge on mitochondrial metabolism,Mol Biol Cell,2016,docs/CLAIM_BOUNDARY.md:143;docs/research/STRESS_RULES.md:259;docs/research/STRESS_RULES.md:283;docs/research/STRESS_RULES.md:498;docs/research/STRESS_RULES.md:518;docs/research/STRESS_RULES.md:57;docs/superseded/maintenance-coefficient.md:45
27317316,Maintenance-energy requirements and robustness of Saccharomyces cerevisiae at aerobic near-zero specific growth rates,Microb Cell Fact,2016,docs/FINDINGS.md:2438;docs/SOURCE_AUDIT.md:382;tests/test_physiology_validation.py:49
27320198,Defining the Essential Function of Yeast Hsf1 Reveals a Compact Transcriptional Program for Maintaining Eukaryotic Proteostasis,Mol Cell,2016,docs/research/PARAMETER_SOURCES.md:167;docs/research/PARAMETER_SOURCES.md:490
27327084,E-Flux2 and SPOT: Validated Methods for Inferring Intracellular Metabolic Flux Distributions from Transcriptomic Data,PLoS One,2016,docs/PRODUCT_ARCHITECTURE.md:154;docs/research/STRESS_RULES.md:255;docs/research/STRESS_RULES.md:268;docs/research/STRESS_RULES.md:323;docs/research/STRESS_RULES.md:54
27329233,Lycopene overproduction in Saccharomyces cerevisiae through combining pathway engineering with host engineering,Microb Cell Fact,2016,docs/HARD_TESTS.md:161;docs/MEASUREMENTS_NEEDED.md:140;docs/MEASUREMENTS_NEEDED.md:862;docs/WHAT_IS_LEFT.md:129
27362362,Regulation of the Na+/K+-ATPase Ena1 Expression by Calcineurin/Crz1 under High pH Stress: A Quantitative Study,PLoS One,2016,docs/research/PARAMETER_SOURCES.md:226;docs/research/PARAMETER_SOURCES.md:481;docs/research/PARAMETER_SOURCES.md:68;src/ystwin/generator/stress_panel.py:553
27423881,Characterization of an evolved carotenoids hyper-producer of Saccharomyces cerevisiae through bioreactor parameter optimization and Raman spectroscopy,J Ind Microbiol Biotechnol,2016,docs/EXTERNAL_CAROTENOID_BOUND.md:123;docs/EXTERNAL_CAROTENOID_BOUND.md:227;docs/EXTERNAL_CAROTENOID_BOUND.md:228;docs/MEASUREMENTS_NEEDED.md:235;docs/MEASUREMENTS_NEEDED.md:275;docs/research/CALIBRATION_DATA.md:116;docs/research/CALIBRATION_DATA.md:370;docs/research/CALIBRATION_DATA.md:398
27515486,Systems Level Analysis of the Yeast Osmo-Stat,Sci Rep,2016,src/ystwin/mech/cell_wall_talemi2016.py:233;src/ystwin/mech/cell_wall_talemi2016.py:5
27538565,Cellular growth defects triggered by an overload of protein localization processes,Sci Rep,2016,src/ystwin/mech/burden.py:431;src/ystwin/mech/burden.py:63
27692069,The fail-safe mechanism of post-transcriptional silencing of unspliced HAC1 mRNA,Elife,2016,docs/SOURCE_AUDIT.md:387;docs/research/UPR_ANCHOR.md:616
27789812,Systems-level analysis of mechanisms regulating yeast metabolic flux,Science,2016,docs/research/EXTERNAL_DATA.md:439
27831465,Dynamic control of Hsf1 during heat shock by a chaperone switch and phosphorylation,Elife,2016,src/ystwin/mech/state.py:426
27939849,A squalene synthase protein degradation method for improved sesquiterpene production in Saccharomyces cerevisiae,Metab Eng,2017,docs/research/STRESS_RULES.md:440;docs/research/STRESS_RULES.md:446
27958314,General calibration of microbial growth in microplate readers,Sci Rep,2016,docs/research/EXTERNAL_DATA.md:317;docs/research/GENERATOR_REALISM.md:167;docs/research/PRODUCT_OBSERVATION.md:213;docs/research/PRODUCT_OBSERVATION.md:265
