# The owner's stress diagram, layer by layer, against what is actually in yeast-GEM v9.0.2 and
# in ystwin. One row per diagram item. Read this file, not the module: the module is a loader,
# a validator and three measurements; the table is the work.
#
# SIX VERDICTS, and the one that carries the audit is NOT_METABOLIC.
#   IN_GEM           reactions exist in the SHIPPED yeast-GEM. gem_reactions lists their ids.
#   IN_GEM_RESTORED  reactions exist, but a gene the item needs arrives only through
#                    fba/stress_genes.py::restore_stress_genes. The row names the ORF.
#   IN_MODULE        no GEM reaction of its own; a named ystwin module carries it.
#   NOT_METABOLIC    a regulator with no metabolic reaction. CORRECTLY absent from a metabolic
#                    model -- this is not a gap and must not be counted as one. panel_module
#                    names the ystwin module its pathway is represented by, or "-" when the
#                    pathway itself is unrepresented at the PANEL layer -- a hole of a
#                    different kind from GAP, returned by unrepresented_pathways() and not
#                    by gaps(). Three rows: sensor.GPR1, cascade.PKA_kinases, sensor.SPS.
#   GAP              genuinely missing and closable. The basis states the route.
#   REFUSED          missing, deliberately. The basis states why, and what measurement closes it.
#
# ABSENCE IS ESTABLISHED BY ORF, NEVER BY SYMBOL. cobrapy leaves Gene.name empty, so a symbol
# lookup on a cobra model returns nothing for every gene and the whole diagram reads as absent.
# The map is built from data/gem/yeast-GEM.xml.gz's own fbc:geneProduct labels by
# fba/stress_genes.py::gene_label_map. Two rows here exist because of that trap: GPX3 IS in the
# model, under its systematic name HYR1 (YIR037W) on r_0483; and RHO1 (YPR165W) -- the CWI
# cascade's terminal GTPase -- IS in the model, as a subunit of 1,3-beta-glucan synthase r_0005.
# A symbol sweep calls both absent and both calls are wrong.
#
# ORFs are SGD's, resolved from data/external/sgd/gene_association.sgd.gaf.gz (gitignored) and
# data/external/sgd/regulation/*.json (tracked). WSC1 resolves through its alias SLG1, GPX3
# through HYR1, ACE1 through CUP2, CRT1 through RFX1. Every ORF here is SGD's PRIMARY
# systematic name -- the first entry of the GAF synonym field -- never a merged
# secondary one; test_every_orf_is_sgds_primary_systematic_name re-checks it.
#
# gem_reactions ids are yeast-GEM v9.0.2's own, read out of the vendored SBML this session and
# re-checked on every load by verify_coverage(). panel_module is a key of
# generator/stress_panel.py::MODULES. code_module is a dotted ystwin module.
#
# THIS TABLE AND data/gem/absent_stress_genes.tsv ARE HELD TOGETHER BY ONE INVARIANT: every gene
# stress_genes actually ADDS to the model (verdict GPR_EXTEND or NEW_REACTION, 19 of them) must be
# named by some row here, or a gene was restored for a function nothing represents. It did not
# hold until this pass added adaptation.manganese_homeostasis (SMF2), adaptation.n_glycosylation
# (ALG3) and the four late mannan transferases MNN2/MNN5/MNT2/MNT3. The 20 gene-layer REFUSALS are
# not held to it: seven are the cell-wall cross-linking cluster and have their own REFUSED row
# here; the other thirteen -- CCS1, CYB5, DAP1, ERG28, GLC3, KHA1, MNN4, TOK1, VCX1, VMA21, VMA22,
# VNX1, VPH2 -- are accessory subunits or paralogues of items already represented, and a row
# apiece would be padding. test_every_gene_the_restore_adds_lands_in_some_pathway_row pins both.
#
layer	item	label	orfs	verdict	gem_reactions	panel_module	code_module	basis	source
TF	tf.TOD6	Tod6, PAC motif, RiBi repressor	YBL054W	REFUSED	-	-	-	As DOT6, and with one additional measured fact: TOD6 is absent even from the SGD symbol index built from data/external/sgd/regulation/*.json (it resolves only through the GAF), so the repo has no regulation record for it at all.	REVISED_BUILD_LIST.md section 3 D2; Huber 2011, PMID 21730963
ADAPTATION	adaptation.chaperones	Cytosolic and ER chaperones	YAL005C|YLL024C|YLL026W|YPL240C|YJL034W|YCL043C	IN_MODULE	-	heat	fba.stress_proteostasis	SSA1, SSA2, HSP104, HSP82, KAR2 and PDI1 are in NONE of the three vendored models -- yeast-GEM, ecYeastGEM 8.3.4 or the 9.0.2 GECKO build. stress_proteostasis.add_chaperone_sink installs a synthesis sink carrying the Hsf1/Hac1 regulon as its GPR, so the ODE layer can address chaperone demand by the factor that drives it. Not a GEM gene gap that can be closed by GPR extension: there is no chaperone REACTION to attach them to.	Verified against all three models by fba/stress_proteostasis.py; Nathan 1997, PMID 9371781
ADAPTATION	adaptation.er_expansion	ER membrane expansion	-	IN_GEM	r_4063|r_4065|r_2108	UPR	fba.stress_biomass	yeast-GEM has no membrane AREA and no compartment volume, so ER expansion cannot be represented as itself. Its metabolic cost can: the phospholipid demand is the lipid backbone and lipid chain pseudoreactions, whose masses stress_biomass.set_pool_masses moves. Representing the cost and refusing the geometry is the honest split.	Schuck 2009, PMID 19948500; yeast-GEM v9.0.2 pseudoreactions
ADAPTATION	adaptation.n_glycosylation	ER N-linked glycosylation	YBL082C	IN_GEM_RESTORED	ALG3_ER	UPR	fba.stress_genes	The ER arm the UPR module has chemistry for. ALG3 transfers the first Dol-P-Man-derived mannose onto Man5GlcNAc2-PP-dolichol; the gene and the reaction are BOTH absent from yeast-GEM and stress_genes adds ALG3_ER. This is the pathway DTT and tunicamycin actually hit -- STRESSORS carries DTT -- and until the restore the model had no glycosylation step for either to act on. MEASURED: blocking ALG3_ER moves growth by 3.3e-08 /h under the shipped default bounds and 3.9e-16 /h at reference batch -- 2.8e-06 and 3.3e-14 of the 0.0117 /h growth SE, so invisible to any growth assay. It is coverage; pricing it would need a measured glycan flux this repository does not have. SGD: GO:0052925 on IDA.	Aebi 1996, PMID 8842708; absent_stress_genes.tsv row for ALG3_ER; measured this session
ADAPTATION	adaptation.glycerol	Glycerol synthesis and retention	YDL022W|YOL059W	IN_GEM	r_0491|r_0492|r_0490|r_0489	osmotic	fba.stress_pools	Full route present: Gpd1/Gpd2 (r_0491/r_0492), Gpp1/Gpp2 (r_0489). stress_pools holds the retained pool against Petelenz-Kurdziel's measured 0.0548 -> 0.9969 M. MEASURED: blocking the whole set moves growth by only 0.000009 /h (shipped) and 0.000086 /h (reference batch), i.e. 0.0008x-0.007x the 0.0117 /h growth SE -- glycerol synthesis is NOT load-bearing for growth in the GEM, and any osmotic effect has to come through the retained pool, not through the flux.	Ansell 1997, PMID 9171333; measured this session
ADAPTATION	adaptation.trehalose	Trehalose cycle	YBR126C|YDR074W|YDR001C|YPR026W	IN_GEM	r_0195|r_1051|r_0194|r_0193	ESR	fba.stress_biomass	Tps1/Tps2 synthesis (r_0195, r_1051) and Nth1/Ath1 hydrolysis (r_0194, r_0193). MEASURED: blocking the set is LETHAL in both regimes (mu 0.085844 -> 0 and 0.345984 -> 0), because trehalose is a fixed component of the carbohydrate pseudoreaction r_4048 at 0.13655 mmol/gDCW. Load-bearing, but as a biomass requirement rather than as a stress response -- which is exactly why stress_biomass exists to make that mass variable.	Francois & Parrou 2001, PMID 11152943; measured this session
ADAPTATION	adaptation.glycogen	Glycogen cycle	YFR015C|YLR258W|YPR160W|YPR184W	IN_GEM	r_0510|r_0511|r_0463|r_1174	ESR	fba.stress_biomass	Gsy1/Gsy2 (r_0510), Gph1 (r_0511), Gdb1 (r_0463), and the vacuolar route r_1174. MEASURED: blocking the set is LETHAL in both regimes -- glycogen is 0.35689 mmol/gDCW of r_4048. GLC3 (YEL011W, the branching enzyme) is absent from yeast-GEM and is a declared REFUSAL in absent_stress_genes.tsv.	Francois & Parrou 2001, PMID 11152943; measured this session
ADAPTATION	adaptation.antioxidant_sod	Superoxide dismutase	YJR104C|YHR008C	IN_GEM	r_4270|r_4190	oxidative	fba.stress_ros	Sod1 cytosolic (r_4270) and Sod2 mitochondrial (r_4190). MEASURED: blocking both moves growth by 0.000000 /h in both regimes -- inert at max growth, because nothing produces superoxide unless stress_ros.dose_superoxide forces it. CCS1 (YMR038C), the Sod1 copper chaperone, is a declared REFUSAL in absent_stress_genes.tsv and costs this row nothing.	Gralla & Kosman 1992, PMID 1456112; measured this session
ADAPTATION	adaptation.antioxidant_catalase	Catalase T and A	YGR088W|YDR256C	IN_GEM	r_0255|r_0256	oxidative	fba.stress_ros	Ctt1 cytosolic (r_0255) and Cta1 peroxisomal (r_0256). THE ONE ABLATION IN THIS TABLE THAT CLEARS THE FLOOR: with stress_ros.dose_peroxide at 1.0 mmol/gDCW/h under the reference batch regime, blocking catalase moves growth by 0.017238 /h = 1.47x the 0.0117 /h growth SE; at 5.0 mmol/gDCW/h it is 0.086187 /h = 7.37x. Undosed it is 0.000001 /h. The pathway is real, and it is only visible once the stressor is dosed.	Izawa 1996, PMID 8947468; measured this session
ADAPTATION	adaptation.antioxidant_gpx	Glutathione peroxidase	YKL026C|YBR244W|YIR037W|YNL229C|YCL035C|YDR513W	IN_GEM	r_0483	oxidative	fba.stress_ros	SIX genes on one reaction, and GPX3 is among them under its systematic name HYR1 (YIR037W) -- a symbol sweep calls GPX3 absent and is wrong. MEASURED: blocking r_0483 alone moves growth by 0.000000 /h at every peroxide dose tested; blocking catalase, GPx and thioredoxin peroxidase TOGETHER is lethal at dose 0. The three routes are individually redundant and collectively essential, which is the structural fact ARCHITECTURE_GAPS appendix G names as three redundant free sinks.	Avery & Avery 2001, PMID 11445588; measured this session
ADAPTATION	adaptation.antioxidant_trx	Thioredoxin system	YLR043C|YGR209C|YDR353W|YHR106W	IN_GEM	r_0550|r_0552|r_1037|r_1038|r_1039	oxidative	fba.stress_ros	Trx1/Trx2 on r_0550, r_0552 (with Ahp1) and r_1037 (with Dot5), Trr1 on r_1038 and Trr2/Glr1 on r_1039. MEASURED: blocking the reductases r_1038/r_1039 is LETHAL in both regimes, because ribonucleotide reductase r_0974-r_0979 draws on reduced thioredoxin -- the thioredoxin system is essential through dNTP supply, not through peroxide clearance.	Draculic 2000, PMID 10844700; measured this session
ADAPTATION	adaptation.antioxidant_tsa1	Tsa1 peroxiredoxin	YML028W	IN_GEM_RESTORED	r_0550	oxidative	fba.stress_genes	TSA1 is NOT in yeast-GEM's 1161-gene list. fba/stress_genes.py restores it by extending r_0550's rule from (TSA2 and TRX2) or (TSA2 and TRX1) -- the model carries only the minor paralogue TSA2, YDR453C -- to include it. This is the repair that made the oxidative regulon scale r_0550 at all: 1.000 before, 1.500 after, at oxidative activity +0.5. Do not re-add it here.	absent_stress_genes.tsv row YML028W; Chae 1994, PMID 7961686
ADAPTATION	adaptation.antioxidant_glutathione	Glutathione synthesis and recycling	YJL101C|YOL049W|YPL091W|YPL059W	IN_GEM	r_0460|r_0485|r_0481|r_0482	oxidative	-	Gsh1 (r_0460), Gsh2 (r_0485), Glr1 (r_0481/r_0482). MEASURED: blocking SYNTHESIS is lethal in both regimes -- glutathione is a cofactor pseudoreaction component -- while blocking the REDUCTASE moves growth by 0.000000 /h. Synthesis is load-bearing, recycling is not, at max growth.	Grant 1996, PMID 8662189; measured this session
ADAPTATION	adaptation.cell_wall_chitin	Chitin	YBR023C|YBR038W|YNL192W	IN_GEM	r_0272	cell_wall	fba.stress_biomass	Chs1/Chs2/Chs3 on one reaction. MEASURED: lethal when blocked in both regimes -- chitin is 0.02361 mmol/gDCW of r_4048. CRH1 (YGR189C) and UTR2 (YEL040W), the chitin transglycosylases, are declared REFUSALS in absent_stress_genes.tsv, and CRH1 is named by the cell_wall regulon, so that module stays one gene short.	Cabib 2001, PMID 11309404; measured this session
ADAPTATION	adaptation.cell_wall_b13_glucan	beta-1,3-glucan	YLR342W|YGR032W|YMR306W|YPR165W	IN_GEM	r_0005	cell_wall	fba.stress_biomass	Fks1/Gsc2/Fks3 with Rho1. Lethal when blocked; 0.73914 mmol/gDCW of r_4048, the largest single carbohydrate component. The GAS family (GAS1-GAS5, the beta-1,3-glucanosyltransferases that elongate it) are ALL declared REFUSALS in absent_stress_genes.tsv, and GAS5 is named by the UPR regulon.	Douglas 1994, PMID 7528927; measured this session
ADAPTATION	adaptation.cell_wall_b16_glucan	beta-1,6-glucan	YPR159W|YGR143W	IN_GEM	r_0006	cell_wall	fba.stress_biomass	Kre6/Skn1. Lethal when blocked; 0.24696 mmol/gDCW of r_4048. KRE5 and KRE9 are absent from yeast-GEM and are not in absent_stress_genes.tsv; they are not proposed here either, because r_0006 already carries the flux and adding a gene to a reaction that is already load-bearing changes no observable.	Roemer & Bussey 1991, PMID 1837148; measured this session
ADAPTATION	adaptation.cell_wall_mannan	Mannan and N-glycan outer chain	YPL050C|YML115C|YEL036C|YDR245W|YJL183W|YER001W|YBR015C|YJL186W|YGL257C|YIL014W	IN_GEM_RESTORED	r_0362|MANPOL_G	cell_wall	fba.stress_genes	r_0362 (dolichyl-phosphate-mannose--protein mannosyltransferase) is present and lethal when blocked; 0.70204 mmol/gDCW of r_4048. The mannan POLYMERASE genes (Mnn9/Van1/Anp1/Mnn10/Mnn11/Mnn1/Mnn2/Mnn5/Mnt2/Mnt3) are absent and are restored by stress_genes as the new reaction MANPOL_G. Do not re-add. MNN4 (YKL201C) is a declared REFUSAL there.	absent_stress_genes.tsv rows for MANPOL_G; measured this session
ADAPTATION	adaptation.cell_wall_crosslinking	beta-1,3-glucan and chitin cross-linking	YMR307W|YLR343W|YMR215W|YOL132W|YOL030W|YGR189C|YEL040W	REFUSED	-	cell_wall	-	The remodelling half of the cell wall, and the half CWI signalling actually induces. Gas1-5 are beta-1,3-glucanosyltransferases (GO:0042124, IDA for Gas1/2/4/5, ISS for Gas3) and Crh1/Utr2 transfer chitin onto glucan (GO:0016757, IDA and IMP); all seven are absent from yeast-GEM's gene list and all seven are declared REFUSALS in absent_stress_genes.tsv. Refused here for the same structural reason and it is worth stating in pathway terms: a transglycosylase is an ISOMERISATION of the polymer -- same atoms, different linkage -- so its reaction is A -> A in a model whose only glucan species are the two lumped biomass components of r_4048 at 0.73914 and 0.24696 mmol/gDCW. Adding it would create a thermodynamically free cycle carrying no flux, which is worse than the omission. What would close it: distinct yeast-GEM metabolites for nascent and cross-linked glucan, plus one measured cross-linking flux under a named cell-wall stress.	Mouyna 2000, PMID 10809732; Ragni 2007, PMID 17397106; Cabib 2008, PMID 18694928; absent_stress_genes.tsv GAS/CRH/UTR2 rows
ADAPTATION	adaptation.ergosterol	Ergosterol biosynthesis	YGR175C|YHR007C|YGR060W	IN_GEM	r_1011|r_0317|r_0238|r_0239|r_0240|r_0241	hypoxia	fba.stress_oxygen	The six oxygen-consuming steps. Lethal when blocked in both regimes. stress_oxygen names all six as ESSENTIAL_OXYGEN_REACTIONS and resolves them under anoxia by opening the ergosterol uptake exchange r_1757, which is the Andreasen & Stier supplement. ERG28 (YER044C) and CYB5 (YNL111C) are declared REFUSALS in absent_stress_genes.tsv and are both named by the hypoxia regulon, so that module stays two genes short.	Andreasen & Stier 1953, PMID 13034889; fba/stress_oxygen.py; measured this session
ADAPTATION	adaptation.ion_ena1	Ena1 Na+ efflux ATPase	YDR040C|YDR039C|YDR038C	IN_GEM	r_4224	calcium	-	Ena1/Ena2/Ena5 on r_4224, the sodium-transporting ATPase, and the canonical calcineurin-Crz1 effector. MEASURED: blocking it moves growth by 0.000000 /h in both regimes, because no sodium load is imposed -- as with catalase, it is inert until the stressor is dosed, and no ystwin module doses sodium.	Haro 1991, PMID 1657642; measured this session
ADAPTATION	adaptation.ion_nha1	Nha1/Nhx1 Na+,K+/H+ antiport	YLR138W|YDR456W	IN_GEM	r_1258	osmotic	-	MEASURED: blocking r_1258 is LETHAL in both regimes -- and for a reason worth recording, because it is not a stress result: r_1258 is the only route by which sodium enters the cytosol, and sodium is a fixed component of the ion pseudoreaction r_4599 at 0.00397 mmol/gDCW. The reaction is load-bearing as an IMPORTER, not as a stress effector.	Prior 1996, PMID 8654575; measured this session
ADAPTATION	adaptation.ion_trk	Trk1/Trk2 potassium uptake	YJL129C|YKR050W	IN_GEM_RESTORED	r_1249	osmotic	fba.stress_genes	TRK2 (YKR050W) is absent from yeast-GEM and is restored by stress_genes onto r_1249. MEASURED: blocking r_1249 is LETHAL in both regimes, for the same importer reason as NHA1 -- potassium is 0.00363 mmol/gDCW of r_4599.	absent_stress_genes.tsv row YKR050W; Ko & Gaber 1991, PMID 2072919; measured this session
ADAPTATION	adaptation.calcium_homeostasis	Calcium pumps and channels	YGL006W|YGL167C|YOL122C|YNL291C|YGR217W	IN_GEM_RESTORED	r_4237|r_4238|r_4587	calcium	fba.stress_genes	Pmc1 vacuolar (r_4237), Pmr1 Golgi (r_4238), and the Ca2+ transport r_4587, whose rule carried ONLY SMF1 until stress_genes added MID1 and CCH1 -- the high-affinity calcium channel. Before that repair, deleting SMF1 read as exactly lethal. MEASURED: blocking the pumps moves growth by 0.000000 /h. These reactions are the metabolic effectors the EMPTY Crz1 regulon cannot reach, and this table is the only place they are attached to the calcium module.	absent_stress_genes.tsv rows YNL291C/YGR217W; Cunningham & Fink 1994, PMID 7507493; measured this session
ADAPTATION	adaptation.zinc_homeostasis	Zinc uptake and vacuolar sequestration	YGL255W|YLR130C|YMR243C|YOR316C|YIL023C	IN_GEM	r_4591|r_4194|r_4195	zinc	-	Zrt1/Zrt2 uptake (r_4591), Zrc1/Cot1 vacuolar sequestration (r_4195), Yke4 (r_4194). All four sequestration and uptake genes are canonical Zap1 targets, and NONE of them is in the ZAP1 regulon at the MacIsaac evidence level -- which is why MODULES['zinc'] reaches zero reactions while its effectors sit in the model. Declared here rather than fetched from a second motif source, because changing the evidence level is a change to bridge/regulation.py.	MacDiarmid 2000, PMID 10856230; measured this session
ADAPTATION	adaptation.copper_homeostasis	Copper uptake	YPR124W|YLR411W|YOL122C	IN_GEM_RESTORED	r_4589	copper	fba.stress_genes	CTR1 and CTR3 are absent from yeast-GEM and are restored by stress_genes onto r_4589, whose rule carried only SMF1. The copper regulon reaches r_4589 only after that repair. NOTE the symbol trap the table there records: the bare string CTR1 resolves in SGD to YGL077C (HNM1, a choline transporter), which IS in the model.	absent_stress_genes.tsv rows YPR124W/YLR411W; Dancis 1994, PMID 8293472
ADAPTATION	adaptation.manganese_homeostasis	Manganese uptake	YOL130W|YHR050W	IN_GEM_RESTORED	r_4590	-	fba.stress_genes	The fifth member of the ion series, and the one no earlier pass of this table had. r_4590 (Mn(2+) transport) is in the shipped model carrying SMF1 alone; SMF2 is absent from yeast-GEM's gene list and is restored by stress_genes onto the same reaction. MEASURED: blocking r_4590 is LETHAL, and by the whole of the growth in BOTH regimes (0.085844 /h shipped-default, 0.345984 /h at reference batch). That is the same signature the audit reads on Nha1 and Trk1: manganese is a fixed demand of the ion pseudoreaction, so this row is a BIOMASS REQUIREMENT and not a stress response, and it cannot be scored against the growth SE. Its stress relevance is a dependence yeast-GEM does not carry: SOD2 (YHR008C) on r_4190 is the MANGANESE superoxide dismutase (SGD GO:0030145, IBA), and r_4190's stoichiometry names no cofactor, so the oxidative arm's mitochondrial half depends on this transporter in the cell and not in the model. NO panel module: manganese is not a MODULES key and adding one is a change to generator/stress_panel.py. SGD gives SMF2 GO:0005384 manganese ion transmembrane transporter activity on IBA, not IDA, and absent_stress_genes.tsv records that correction.	Supek 1996, PMID 8643535; Portnoy 2000, PMID 11027260; absent_stress_genes.tsv row for SMF2; measured this session
ADAPTATION	adaptation.iron_homeostasis	High-affinity iron uptake	YER145C|YMR058W|YLR214W	IN_GEM_RESTORED	r_1178|r_4275	iron	fba.stress_genes	FTR1 (YER145C) is absent and is restored by stress_genes onto r_1178, whose rule was FET4 or FET3 and named no FTR1; the repair makes the high-affinity route (FET3 and FTR1) and leaves FET4 as the low-affinity alternative. Fre1 reductase is r_4275. The Aft1/Aft2 regulon reaches 30 reactions, 2 more after the repair.	absent_stress_genes.tsv row YER145C; Stearman 1996, PMID 8599111
ADAPTATION	adaptation.xenobiotic_polyamine_efflux	Tpo1 polyamine efflux	YLL028W	IN_GEM	r_1251|r_1252|r_1260|r_1261|r_1262|r_1263	xenobiotic	-	Tpo1 is the ONLY Pdr1/Pdr3 target with a reaction in yeast-GEM, and it is a polyamine transporter, not a drug pump. It is the entirety of what MODULES['xenobiotic'] can reach, and it reaches it only through this table -- the PDR1/PDR3 regulon at the MacIsaac level contains none of yeast-GEM's genes.	Tomitori 1999, PMID 9920864; measured this session
ADAPTATION	adaptation.xenobiotic_drug_efflux	Pdr5/Snq2/Yor1/Pdr12 ABC efflux	-	REFUSED	-	xenobiotic	-	PDR5, SNQ2, YOR1, PDR10, PDR15, PDR12, FLR1, ATR1 and QDR1-3 are ALL absent from yeast-GEM's gene list, and no ABC drug-efflux reaction exists to extend. Refused rather than added, and the reason is structural rather than evidential: a drug pump needs a drug, and yeast-GEM carries no metabolite for any of this repo's 25 stressors except peroxide, acetate, propionate, lactate and DTT's redox couple. An efflux reaction would export a metabolite that does not exist. What would close it: a named xenobiotic with a yeast-GEM metabolite id and a measured export stoichiometry.	Verified against data/gem/yeast-GEM.xml.gz gene labels this session; Rogers 2001, PMID 11321575
ADAPTATION	adaptation.autophagy_glycophagy	Glycogen autophagy	-	IN_GEM	r_1174	ESR	-	r_1174, glycogen vacuolar transport via autophagy, EXISTS in yeast-GEM -- and carries an EMPTY gene rule, so no regulon can reach it and no deletion can remove it. It is the only autophagy reaction in the model. Reported, not repaired: attaching ATG genes to it is a gene addition and belongs in absent_stress_genes.tsv, which this module does not own.	yeast-GEM v9.0.2 r_1174; Wang 2001, PMID 11486014
ADAPTATION	adaptation.autophagy_bulk_protein	Bulk protein autophagy	YGL180W|YBL078C|YPR185W	REFUSED	-	-	-	ATG1, ATG8 and ATG13 are absent from yeast-GEM, and there is NO bulk protein turnover reaction to attach them to. The route to add it is unambiguous -- hydrolyse the protein pseudoreaction r_4047's own amino-acid composition back to free amino acids, which costs nothing to write. It is refused because the RATE is the whole content: an unconstrained protein hydrolysis reaction is a free lunch that lets the model recycle biomass, and no autophagic flux is measured anywhere in this repository. What would close it: one measured autophagic protein degradation rate in mmol amino acid/gDCW/h under a named stress.	Verified against data/gem/yeast-GEM.xml.gz this session; Onodera & Ohsumi 2005, PMID 16027116
ADAPTATION	adaptation.dna_repair_rnr	Ribonucleotide reductase, the DDR's metabolic arm	YER070W|YJL026W|YIL066C|YGR180C	IN_GEM	r_0974|r_0975|r_0976|r_0977|r_0978|r_0979	dna_damage	-	Rnr1-Rnr4 on six reactions, and the ONLY metabolic output of the DNA damage response. The Rfx1/Crt1 regulon reaches all eight of its GEM-resident targets here. MEASURED: blocking the set moves growth by 0.000003 /h (shipped) and 0.000024 /h (reference batch) -- 0.0003x-0.002x the growth SE, because the DNA pseudoreaction is a small biomass term. Represented and inert, which is the useful thing to know about it.	Huang 1998, PMID 9741624; measured this session
ADAPTATION	adaptation.dna_repair_rad	Rad51/Rad52/Rad53 repair machinery	YER095W|YML032C|YPL153C|YDL101C	NOT_METABOLIC	-	dna_damage	-	Recombinases, a checkpoint kinase and a kinase. yeast-GEM has no metabolite for damaged DNA and no reaction whose substrate is a lesion, so there is nothing to attach them to. Correctly absent -- this is the clearest case in the table of a pathway that a metabolic model SHOULD not represent. Its dNTP consequence is adaptation.dna_repair_rnr.	Symington 2002, PMID 12456786
ADAPTATION	adaptation.ribosome_reduction	Ribosome content reduction	-	IN_GEM	r_4047	-	fba.stress_proteostasis	The protein pseudoreaction r_4047 is the model's whole proteome, and lethal when blocked. stress_proteostasis.ribosome_allocation_penalty carries the reduction against Metzl-Raz's measured phi_R = 0.35*X + 0.08 with X in GENERATIONS/h -- note the module converts the slope to 0.35/ln(2) per 1/h, because the paper's own axis is generations. The relaxation LAW dmu/dt = mu(mu_ss - mu) is REJECT (REVISED_BUILD_LIST section 3 D4): 0.015x-0.047x the 0.146 floor once the incumbent generator is allowed its own capacity parameter.	Metzl-Raz 2017, PMID 28857745; REVISED_BUILD_LIST.md section 3 D4
ADAPTATION	adaptation.flux_reprogramming	Metabolic flux reprogramming	-	IN_MODULE	-	-	bridge.regulation	bridge/regulation.py::eflux_layer is the map from module activity to reaction bounds. Its own layer-state constant reports it inert, and the number behind that is EFLUX_BOUNDS_TIGHTENED_AT_3X_EC50 = 0: across all 25 stressors and a 31-point dose sweep, every module carrying a transcription factor has minimum activity exactly 0.0, so scale = max(0, 1 + a) >= 1 and the layer only ever RAISES an upper bound. Carried as the honest null arm, not offered as a live regulation route.	bridge/regulation.py EFLUX_LAYER_STATE; Machado & Herrgard 2014, PMID 24762745
ADAPTATION	adaptation.transcriptional_repression	Repression as a regulatory direction	-	REFUSED	-	-	-	THE ONE STRUCTURAL HOLE THIS AUDIT FOUND THAT IS NOT A MISSING REACTION. The repository has zero transcriptional repression anywhere: across 25 stressors there are exactly FIVE negative target weights -- DTT on redox, menadione on nadh, glucose_starvation and antimycin_A on atp, acetic_acid on ph -- and all five are on METABOLITE POOLS, which have no transcription factor and no regulon by construction. Not one regulon is repressed by anything. Gasch's own measurement is roughly half repression. Refused rather than built for the reason at tf.DOT6: forcing a regulon negative by hand is a knockout operator and not a dial, because gene scales add across regulons and a two-regulon 50% repression clips an essential reaction to zero and the model dies. What would close it: a repression coupling with a measured slope, and a bound operator that is multiplicative on capacity rather than additive on activity.	Measured from generator/stress_panel.py STRESSORS this session; Gasch 2000, PMID 11102521; bridge/regulation.py
